,title,subtitle,link
12,CHAMBER RAID,Arsenal fans say 'we scammed Liverpool hard' after realising their record sale,https://www.thesun.co.uk/sport/28334384/arsenal-record-sale-liverpool-transfer-oxlade-chamberlain/
13,ROO THE DAY,Wayne Rooney and Joe Cole name two England stars Southgate should've picked,https://www.thesun.co.uk/sport/28376757/wayne-rooney-joe-cole-grealish-maguire-branthwaite-england-squad/
14,WILDTRAK,"Win an incredible Ford Ranger or £37,500 alternative from just 71p with our code",https://www.thesun.co.uk/sport/22922880/win-car-competition-7dp/
15,IN THE RON JOB,Watch Cristiano Ronaldo pour his heart out in love song - and fans love it,https://www.thesun.co.uk/sport/28365837/cristiano-ronaldo-singing-video/
16,MAN OH MAN,Watch Manuel Neuer make another blunder as fans says Prem cult hero 'ended him',https://www.thesun.co.uk/sport/28378514/germany-manuel-neuer-blunder-greece-joselu/
17,"FANTASTIC, MR FOX",Vardy signs new Leicester contract at age of 38 in blow to Wrexham,https://www.thesun.co.uk/sport/28369068/jamie-vardy-leicester-contract-wrexham-transfer/
18,RED AND BURIED,Jim Ratcliffe 'makes shock sale decision to stop club getting European ban',https://www.thesun.co.uk/sport/28378442/jim-ratcliffe-sale-ogc-nice-man-utd/
19,FER REAL?,Sir Alex names surprising star as only ‘certainty’ to make greatest Man Utd XI,https://www.thesun.co.uk/sport/28369790/sir-alex-ferguson-man-utd-xi/
20,LET'S BE FRANK,Chelsea legend's daughter strips to racy one-piece swimsuit for sexy snaps,https://www.thesun.co.uk/sport/28368672/chelsea-sexy-snaps-frank-leboeuf-jade-leboeuf/
21,GREEN LIGHT,Mason Greenwood 'gives go-ahead to Champions League move with new boss 'teased',https://www.thesun.co.uk/sport/28371541/mason-greenwood-transfer-man-utd-samuel-iling/
22,GOING SOUTH,Iconic former EFL club with 100% record vs Man Utd face going out of business,https://www.thesun.co.uk/sport/28363888/southend-united-takeover-protests/
23,CHERRY PICKED,"Harry Redknapp's grandson, 18, joins his former club from Premier League side",https://www.thesun.co.uk/sport/28375022/harry-redknapps-grandson-18-signs-for-dorchester/
24,PALACE JEWEL,Eze’s 'release clause revealed as Premier League rivals eye transfer',https://www.thesun.co.uk/sport/28373248/eberechi-eze-crystal-palace-transfer-release-clause/
25,WHAR PATH,England star Wharton could have been rocket scientist and was nicknamed 'Messi',https://www.thesun.co.uk/sport/28358565/england-adam-wharton-rocket-scientist-nicknamed-messi/
26,POT LUCK,Potter holds talks with Prem club as he eyes first job since Chelsea sacking,https://www.thesun.co.uk/sport/28341412/graham-potter-holds-talks-brighton-chelsea/
27,LO SELL-SO,Giovani Lo Celso set to leave Tottenham with Premier League rivals leading race,https://www.thesun.co.uk/sport/28352941/giovani-lo-celso-tottenham-aston-villa-transfer/
28,LEWIN IN OR OUT?,Chelsea ‘eye shock move for Calvert-Lewin’ in cut-price summer swoop,https://www.thesun.co.uk/sport/28338015/chelsea-transfer-news-dominic-calvert-lewin/
29,YOU'RE WELCOME,talkSPORT BET bonus: Sign up and get £20 in free bets to spend on football,https://www.thesun.co.uk/sport/27779571/talksport-bet-welcome-bonus-register-free-offer-sign-up/
30,HU ARE YA,"Meet Brighton manager frontrunner, 31, who stopped playing at 23 and loves darts",https://www.thesun.co.uk/sport/28367322/brighton-fabian-hurzeler-darts-roberto-de-zerbi/
31,CON MAN,Ex-Chelsea star slams club and says talk of selling Gallagher 'blows my mind',https://www.thesun.co.uk/sport/28332070/chelsea-wayne-bridge-conor-gallagher-transfer-slams-management/
32,NOT ALL WHITE,Leeds release ELEVEN players as fans fume shock ace has 'been given 18 lives',https://www.thesun.co.uk/sport/28369087/leeds-release-18-players-cody-drameh/
33,RUN OF THE MILLS,My dad was a World Cup star but now I'm achieving something he didn't,https://www.thesun.co.uk/sport/28375061/george-mills-dad-danny-athletics-england/
34,EAGLE SOARS,Everton in huge takeover blow as Crystal Palace owner withdraws from race,https://www.thesun.co.uk/sport/28368360/everton-takeover-farhad-moshiri-john-textor/
35,IN FOR THE KYL,French icon names five England stars in combined XI with one shock omission,https://www.thesun.co.uk/sport/28368641/kylian-mbappe-england-france-combined-xi-kane/
